EquableClassID,Plan_FullName,Group,Years of Service,Annual Rate,Wage Inflation
1010202,Alabama Employees' Retirement System,State Police,45,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,0,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,1,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,2,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,3,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,4,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,5,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,6,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,7,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,8,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,9,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,10,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,11,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,12,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,13,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,14,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,15,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,16,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,17,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,18,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,19,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,20,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,21,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,22,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,23,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,24,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,25,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,26,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,27,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,28,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,29,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,30,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,31,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,32,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,33,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,34,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,35,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,36,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,37,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,38,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,39,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,40,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,41,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,42,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,43,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,44,0.045,0.03
1010302,Alabama Employees' Retirement System,State Police,45,0.045,0.03
1020102,Alabama Teachers' Retirement System,All Members,0,0.05,0.03
1020102,Alabama Teachers' Retirement System,All Members,1,0.04,0.03
1020102,Alabama Teachers' Retirement System,All Members,2,0.04,0.03
1020102,Alabama Teachers' Retirement System,All Members,3,0.04,0.03
1020102,Alabama Teachers' Retirement System,All Members,4,0.04,0.03
1020102,Alabama Teachers' Retirement System,All Members,5,0.04,0.03
1020102,Alabama Teachers' Retirement System,All Members,6,0.0375,0.03
1020102,Alabama Teachers' Retirement System,All Members,7,0.0375,0.03
1020102,Alabama Teachers' Retirement System,All Members,8,0.0375,0.03
1020102,Alabama Teachers' Retirement System,All Members,9,0.0375,0.03
1020102,Alabama Teachers' Retirement System,All Members,10,0.0375,0.03
1020102,Alabama Teachers' Retirement System,All Members,11,0.035,0.03
1020102,Alabama Teachers' Retirement System,All Members,12,0.035,0.03
1020102,Alabama Teachers' Retirement System,All Members,13,0.035,0.03
1020102,Alabama Teachers' Retirement System,All Members,14,0.035,0.03
1020102,Alabama Teachers' Retirement System,All Members,15,0.035,0.03
1020102,Alabama Teachers' Retirement System,All Members,16,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,17,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,18,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,19,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,20,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,21,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,22,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,23,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,24,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,25,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,26,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,27,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,28,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,29,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,30,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,31,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,32,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,33,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,34,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,35,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,36,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,37,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,38,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,39,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,40,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,41,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,42,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,43,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,44,0.0325,0.03
1020102,Alabama Teachers' Retirement System,All Members,45,0.0325,0.03
2010130,Alaska Public Employees’ Retirement System,Others,0,0.0675,0.025
2010130,Alaska Public Employees’ Retirement System,Others,1,0.0625,0.025
2010130,Alaska Public Employees’ Retirement System,Others,2,0.0575,0.025
2010130,Alaska Public Employees’ Retirement System,Others,3,0.0525,0.025
2010130,Alaska Public Employees’ Retirement System,Others,4,0.0475,0.025
2010130,Alaska Public Employees’ Retirement System,Others,5,0.0425,0.025
2010130,Alaska Public Employees’ Retirement System,Others,6,0.0375,0.025
2010130,Alaska Public Employees’ Retirement System,Others,7,0.0365,0.025
2010130,Alaska Public Employees’ Retirement System,Others,8,0.0355,0.025
2010130,Alaska Public Employees’ Retirement System,Others,9,0.0345,0.025
2010130,Alaska Public Employees’ Retirement System,Others,10,0.0335,0.025
2010130,Alaska Public Employees’ Retirement System,Others,11,0.0325,0.025
2010130,Alaska Public Employees’ Retirement System,Others,12,0.0315,0.025
2010130,Alaska Public Employees’ Retirement System,Others,13,0.0305,0.025
2010130,Alaska Public Employees’ Retirement System,Others,14,0.0295,0.025
2010130,Alaska Public Employees’ Retirement System,Others,15,0.0285,0.025
2010130,Alaska Public Employees’ Retirement System,Others,16,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,17,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,18,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,19,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,20,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,21,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,22,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,23,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,24,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,25,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,26,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,27,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,28,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,29,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,30,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,31,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,32,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,33,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,34,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,35,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,36,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,37,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,38,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,39,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,40,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,41,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,42,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,43,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,44,0.0275,0.025
2010130,Alaska Public Employees’ Retirement System,Others,45,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,1,0.0725,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,2,0.0675,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,3,0.0625,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,4,0.0575,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,5,0.0525,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,6,0.0475,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,7,0.0425,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,8,0.0375,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,9,0.0365,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,10,0.0355,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,11,0.0345,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,12,0.0335,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,13,0.0325,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,14,0.0315,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,15,0.0305,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,16,0.0295,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,17,0.0285,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,18,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,19,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,20,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,21,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,22,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,23,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,24,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,25,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,26,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,27,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,28,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,29,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,30,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,31,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,32,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,33,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,34,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,35,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,36,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,37,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,38,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,39,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,40,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,41,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,42,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,43,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,44,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,45,0.0275,0.025
2010230,Alaska Public Employees’ Retirement System,Peace Officer/Firefighter,0,0.0775,0.025
2020130,Alaska Teachers’ Retirement System,All Members,0,0.0675,0.025
2020130,Alaska Teachers’ Retirement System,All Members,1,0.0625,0.025
2020130,Alaska Teachers’ Retirement System,All Members,2,0.0575,0.025
2020130,Alaska Teachers’ Retirement System,All Members,3,0.0525,0.025
2020130,Alaska Teachers’ Retirement System,All Members,4,0.0475,0.025
2020130,Alaska Teachers’ Retirement System,All Members,5,0.0425,0.025
2020130,Alaska Teachers’ Retirement System,All Members,6,0.0375,0.025
2020130,Alaska Teachers’ Retirement System,All Members,7,0.0365,0.025
2020130,Alaska Teachers’ Retirement System,All Members,8,0.0355,0.025
2020130,Alaska Teachers’ Retirement System,All Members,9,0.0345,0.025
2020130,Alaska Teachers’ Retirement System,All Members,10,0.0335,0.025
2020130,Alaska Teachers’ Retirement System,All Members,11,0.0325,0.025
2020130,Alaska Teachers’ Retirement System,All Members,12,0.0315,0.025
2020130,Alaska Teachers’ Retirement System,All Members,13,0.0305,0.025
2020130,Alaska Teachers’ Retirement System,All Members,14,0.0295,0.025
2020130,Alaska Teachers’ Retirement System,All Members,15,0.0285,0.025
2020130,Alaska Teachers’ Retirement System,All Members,16,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,17,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,18,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,19,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,20,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,21,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,22,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,23,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,24,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,25,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,26,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,27,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,28,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,29,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,30,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,31,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,32,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,33,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,34,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,35,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,36,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,37,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,38,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,39,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,40,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,41,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,42,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,43,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,44,0.0275,0.025
2020130,Alaska Teachers’ Retirement System,All Members,45,0.0275,0.025
3010103,Arizona Corrections Officers Retirement Plan,All Members,0,0.061,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,1,0.0596,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,2,0.0582,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,3,0.0568,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,4,0.0554,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,5,0.054,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,6,0.0526,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,7,0.0512,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,8,0.0498,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,9,0.0484,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,10,0.047,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,11,0.046,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,12,0.045,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,13,0.044,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,14,0.043,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,15,0.042,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,16,0.0416,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,17,0.0412,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,18,0.0408,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,19,0.0404,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,20,0.04,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,21,0.0398,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,22,0.0396,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,23,0.0394,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,24,0.0392,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,25,0.039,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,26,0.0386,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,27,0.0382,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,28,0.0378,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,29,0.0374,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,30,0.037,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,31,0.0366,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,32,0.0362,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,33,0.0358,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,34,0.0354,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,35,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,36,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,37,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,38,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,39,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,40,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,41,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,42,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,43,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,44,0.035,0.035
3010103,Arizona Corrections Officers Retirement Plan,All Members,45,0.035,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,0,0.061,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,1,0.0596,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,2,0.0582,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,3,0.0568,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,4,0.0554,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,5,0.054,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,6,0.0526,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,7,0.0512,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,8,0.0498,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,9,0.0484,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,10,0.047,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,11,0.046,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,12,0.045,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,13,0.044,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,14,0.043,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,15,0.042,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,16,0.0416,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,17,0.0412,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,18,0.0408,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,19,0.0404,0.035
3010130,Arizona Corrections Officers Retirement Plan,All Members,20,0.04,0.035
