EquableClassID,State,Retirement System Name,Plan_Name,Occupation,Occupation_Categories,Class_Name,Tier_HireDates,Plan_Type ,"DB COLA, Amount Provisions","DB COLA, Accumulation Provision (Simple = 0, Compounding = 1)","DB COLA, Policy Provisions",COLA_Amount,"DB COLA, Distribution Provision (Automatic, Ad Hoc, Specially Funded Account, No Provision)","Risk-Sharing Tool Related to Benefits (No = 0, Yes = 1)",Risk-Sharing Tool Details,Social Security Coverage,"Choice Structure (Mandatory = 0, Opt-Out = 1, Opt-In = 2)",Choices Available (by Plan ID),"DC Default into Target Date Funds or Target Retirement Funds (Depends on Provider = 0, Yes = 1, No = 2)",GR Crediting/Interest Rate,FAS Benefit Supplement Binary,Legacy_Plan,Municipal_Plan,Annuity_Access
5011600,California,California Public Employees Retirement System,California Public Employees Retirement Fund,local police,Local Police,CalPERS Safety Public Agency County Peace Officers,"hired on or after January 1, 2012",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5011700,California,California Public Employees Retirement System,California Public Employees Retirement Fund,public school safety officers,Public School Non-Instructional,CalPERS Safety Public Agency Schools,"hired on or after January 1, 2012",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5020100,California,California State Teachers Retirement System,California State Teachers’ Retirement System,public school teachers,Public School Teachers,CalSTRS PEPRA,"hired on or after January 1, 2013",FAS,"2%, simple",0,Fixed,0.02,Automatic,0,,No,0,,,,1,0,0,
5020260,California,California State Teachers Retirement System,California State Teachers’ Retirement System,public school teachers,Public School Teachers,CalSTRS GR Option,"hired on or after January 1, 2013",GR,"2%, simple",0,Fixed,0.02,Automatic,1,Return Upside Share,No,0,,,0.0386,1,0,0,
5030116,California,University of California Retirement System,University of California Retirement System,higher education faculty,Higher Education Faculty,CA UCRS Faculty PEPRA,"hired on or after July 1, 2016",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Mixed,0,,,,1,0,0,
5030202,California,University of California Retirement System,University of California Retirement System,higher education non-instructional employees,Higher Education Non-Instructional,CA UCRS Safety PEPRA,"hired on or after July 1, 2016",FAS,"Fixed 2%, simple",0,Fixed,0.02,Automatic,0,,Mixed,0,,,0.0244,1,0,0,
5040100,California,California Public Employees Retirement System,California Judges' Retirement Fund II,judges,Judges,CA JRF 2 PEPRA,"hired on or after November 4, 1994",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,1,0,0,
6010100,Colorado,Colorado Public Employees Retirement Association,Colorado PERA - Schools Division Fund,public school teachers,Public School Teachers,CO PERA Schools Division,"hired on or after January 1, 2011",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,"Auto-adjusted Contributions and COLA Rate Pegged to % of ADC Paid, With a Ceiling on Adjustments",No,0,,,,1,0,0,
6010200,Colorado,Colorado Public Employees Retirement Association,Colorado PERA - Denver Public Schools Fund,public school teachers,Public School Teachers,CO PERA Denver Schools,"hired on or after January 1, 2020",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,"Auto-adjusted Contributions and COLA Rate Pegged to % of ADC Paid, With a Ceiling on Adjustments",No,0,,,,1,0,0,
6010300,Colorado,Colorado Public Employees Retirement Association,Colorado PERA - State Division Fund,state general employees,State General Employees,CO PERA State General,"hired on or after January 1, 2011",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,"Auto-adjusted Contributions and COLA Rate Pegged to % of ADC Paid, With a Ceiling on Adjustments",No,1,6020130,,,1,0,0,
6010400,Colorado,Colorado Public Employees Retirement Association,Colorado PERA - State Division Fund,state police,State Police,CO PERA State Troopers,"hired on or after January 1, 2011",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,"Auto-adjusted Contributions and COLA Rate Pegged to % of ADC Paid, With a Ceiling on Adjustments",No,1,6020330,,,1,0,0,
6010500,Colorado,Colorado Public Employees Retirement Association,Colorado PERA - Local Division Fund,local general employees,Local General Employees,CO PERA Local Division,"hired on or after January 1, 2011",FAS,"Up to 2%, simple",0,Linked to inflation and funded status,0.015,Automatic,1,"Auto-adjusted Contributions and COLA Rate Pegged to % of ADC Paid, With a Ceiling on Adjustments",No,1,6020430,,,1,0,0,
6020130,Colorado,Colorado Public Employees Retirement Association,Colorado PERAChoice Defined Contribution Plan,state general employees,State General Employees,CO PERAChoice DC State General,"hired on or after January 1, 2006",DC,,,,,,0,DC Plan Has No Risk,No,2,6010300,1,,1,0,0,0
6020230,Colorado,Colorado Public Employees Retirement Association,Colorado PERAChoice Defined Contribution Plan,higher education faculty and non-instructional employees,"Higher Education Faculty, Non-Instructional",CO PERAChoice DC Universities & Colleges,"hired on or after January 1, 2019",DC,,,,,,0,DC Plan Has No Risk,No,2,6010100,1,,1,0,0,0
6020330,Colorado,Colorado Public Employees Retirement Association,Colorado PERAChoice Defined Contribution Plan,state public safety employees,State Public Safety Employees,CO PERAChoice DC State Public Safety,"hired on or after January 1, 2006",DC,,,,,,0,DC Plan Has No Risk,No,2,6010400,1,,1,0,0,0
6020430,Colorado,Colorado Public Employees Retirement Association,Colorado PERAChoice Defined Contribution Plan,local public safety employees,Local Public Safety Employees,CO PERAChoice DC Local Division,"hired on or after January 1, 2019",DC,,,,,,0,DC Plan Has No Risk,No,2,6010500,1,,1,0,0,0
6030107,Colorado,Colorado Fire and Police Pension Association,Colorado Fire and Police Pension Association,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",CO P&F Post-2007,"hired on or after January 1, 2007",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,Yes,0,,,,1,0,0,
7010100,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,local general employees,Local General Employees,CT MERS General (Not SSA Covered),hired after 1947,FAS,"60% of CPI increase, minium 2.5%, simple",0,Linked to inflation,0.025,Automatic,0,,No,0,,,,0,0,0,
7010200,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,local general employees,Local General Employees,CT MERS General (SSA Covered),hired after 1947,FAS,"60% of CPI increase, minium 2.5%, simple",0,Linked to inflation,0.025,Automatic,0,,Yes,0,,,,0,0,0,
7010300,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,local public safety employees,Local Public Safety Employees,CT MERS Safety (Not SSA Covered),hired after 1947,FAS,"60% of CPI increase, minium 2.5%, simple",0,Linked to inflation,0.025,Automatic,0,,No,0,,,,0,0,0,
7010400,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,local public safety employees,Local Public Safety Employees,CT MERS Safety (SSA Covered),hired after 1947,FAS,"60% of CPI increase, minium 2.5%, simple",0,Linked to inflation,0.025,Automatic,0,,Yes,0,,,,0,0,0,
7020100,Connecticut,Connecticut State Employees Retirement System,Connecticut State Employees Retirement System,state general employees,State General Employees,CT SERS Non-Hazardous,"hired on or after July 1, 2011",FAS,"60% of CPI increase, minimum of 2%, simple",0,Linked to inflation,0.02,Automatic,0,,Yes,0,,,,1,0,0,
7020200,Connecticut,Connecticut State Employees Retirement System,Connecticut State Employees Retirement System,state public safety employees,State Public Safety Employees,CT SERS Hazardous,"hired on or after July 1, 2011",FAS,"60% of CPI increase, minimum of 2%, simple",0,Linked to inflation,0.02,Automatic,0,,Yes,0,,,,1,0,0,
7030100,Connecticut,Connecticut Teachers Retirement System,Connecticut State Teachers’ Retirement System,public school teachers,Public School Teachers,CT TRS,"hired on or after January 1, 2018",FAS,"Minimum 3%, simple",0,Linked to inflation and funded status,0.03,Automatic,0,,No,0,,,,1,0,0,
8010100,Delaware,Delaware State Employees Retirement System,Delaware State Employees’ Pension Plan,state general employees,State General Employees,DE SEPP General,"hired on or after January 1, 2012",FAS,Ad hoc amount,0,Ad hoc,0,Automatic,0,,Yes,0,,,,0,0,0,
8010200,Delaware,Delaware State Employees Retirement System,Delaware State Employees’ Pension Plan,public school teachers,Public School Teachers,DE SEPP Teachers,"hired on or after January 1, 2012",FAS,Ad hoc amount,0,Ad hoc,0,Automatic,0,,Yes,0,,,,0,0,0,
9010103,District of Columbia,District of Columbia Police Officers' and Firefighters' Retirement System,District of Columbia Police Officers and Fire Fighters' Retirement Fund,local firefighters,Local Firefighters,DC POFRF Fire,"hired on or after November 10, 1996",FAS,"Up to 3%, compounded",0,Ad hoc,0,Ad Hoc,0,,No,0,,,,0,0,0,
9010203,District of Columbia,District of Columbia Police Officers' and Firefighters' Retirement System,District of Columbia Police Officers and Fire Fighters' Retirement Fund,local police,Local Police,DC POFRF Police,"hired on or after November 10, 1996",FAS,"Up to 3%, compounded",1,Linked to inflation,0.0225,Automatic,0,,No,0,,,,0,0,0,
9020100,District of Columbia,District of Columbia Teachers Retirement System,District of Columbia Teachers' Retirement Fund,public school teachers,Public School Teachers,DC TRP,"hired on or after November 1, 1996",FAS,"Up to 3%, compounded",0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
10010100,Florida,Florida Retirement System,FRS Defined Benefit Plan,state and local general employees,"State General Employees, Local General Employees",FL RS Pension Regular Class Non-K-12,"hired on or after July 1, 2011",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,2,10010130,,,0,0,0,
10010130,Florida,Florida Retirement System,FRS Investment Plan,public school teachers,Public School Teachers,FL RS DC Regular Class K-12 Teachers,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10010100,1,,0,0,0,1
10010200,Florida,Florida Retirement System,FRS Defined Benefit Plan,public school teachers,Public School Teachers,FL RS Pension Regular Class K-12 Teachers,"hired on or after July 1, 2011",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,2,10010230,,,0,0,0,
10010230,Florida,Florida Retirement System,FRS Investment Plan,state and local general employees,"State General Employees, Local General Employees",FL RS DC Regular Class Non-K-12,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10010200,1,,0,0,0,1
10020100,Florida,Florida Retirement System,FRS Defined Benefit Plan,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",FL RS Pension Special Risk Class,"hired on or after July 1, 2011",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,2,10020130,,,0,0,0,
10020130,Florida,Florida Retirement System,FRS Investment Plan,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",FL RS DC Special Risk Class,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10020100,1,,0,0,0,1
10030100,Florida,Florida Retirement System,FRS Defined Benefit Plan,judges,Judges,FL RS Pension Elected Officers' Class Judges,"hired on or after July 1, 2011",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,2,10030130,,,0,0,0,
10030130,Florida,Florida Retirement System,FRS Investment Plan,judges,Judges,FL RS DC Elected Officers' Class Judges,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10030100,1,,0,0,0,1
10030200,Florida,Florida Retirement System,FRS Defined Benefit Plan,state elected officials,State Elected Officials,FL RS Pension Elected Officers' Class State,"hired on or after July 1, 2011",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,2,10030230,,,0,0,0,
10030230,Florida,Florida Retirement System,FRS Investment Plan,state elected officials,State Elected Officials,FL RS DC Elected Officers' Class State,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10030200,1,,0,0,0,1
10030300,Florida,Florida Retirement System,FRS Defined Benefit Plan,local elected officials,Local Elected Officials,FL RS Pension Elected Officers' Class County & Local,"hired on or after July 1, 2011",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,2,10030330,,,0,0,0,
10030330,Florida,Florida Retirement System,FRS Investment Plan,local elected officials,Local Elected Officials,FL RS DC Elected Officers' Class County & Local,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10030300,1,,0,0,0,1
10040100,Florida,Florida Retirement System,FRS Defined Benefit Plan,state and local general employees,"State General Employees, Local General Employees",FL RS Pension Senior Management Class,"hired on or after July 1, 2011",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,2,10040130,,,0,0,0,
10040130,Florida,Florida Retirement System,FRS Investment Plan,state and local general employees,"State General Employees, Local General Employees",FL RS DC Senior Management Class,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10040100,1,,0,0,0,1
10050130,Florida,Florida Retirement System,FRS Investment Plan,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",FL RS DC Special Risk Administrative Class,"hired on or after July 1, 2001",DC,,,,,,0,DC Plan Has No Risk,Yes,1,10040100,1,,0,0,0,1
11010190,Georgia,Georgia Employees Retirement System,Georgia State Employees' Pension and Savings Plan,state and local general employees,"State General Employees, Local General Employees",GA ERS Hybrid General,"hired on or after January 1, 2009",Hybrid,Ad hoc amount,0,Ad hoc,0,Ad Hoc,1,Hybrid Plan,Yes,0,,1,,0,0,0,
11010290,Georgia,Georgia Employees Retirement System,Georgia State Employees' Pension and Savings Plan,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",GA ERS Hybrid Safety,"hired on or after January 1, 2009",Hybrid,Ad hoc amount,0,Ad hoc,0,Ad Hoc,1,Hybrid Plan,Yes,0,,1,,0,0,0,
11020100,Georgia,Georgia Teachers Retirement System,Georgia Teachers Retirement System,public school teachers,Public School Teachers,GA TRS,hired after 1943,FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,Mixed,0,,,,1,0,0,
12010190,Hawaii,Hawaii Employees Retirement System,Employees’ Retirement System of the State of Hawaii,state and local general employees,"State General Employees, Local General Employees",ERSHI General,"hired on or after July 1, 2012",Hybrid,"Fixed 1.5%, simple",0,Fixed,0.015,Automatic,1,Hybrid Plan,Yes,0,,1,0.02,0,0,0,
12010290,Hawaii,Hawaii Employees Retirement System,Employees’ Retirement System of the State of Hawaii,public school teachers,Public School Teachers,ERSHI Teachers,"hired on or after July 1, 2012",Hybrid,"Fixed 1.5%, simple",0,Fixed,0.015,Automatic,1,Hybrid Plan,Yes,0,,1,0.02,0,0,0,
