EquableClassID,State,Retirement System Name,Plan_FullName,Mortality_Category,Class_Name,Plan Type ,ARR,DiscRate,Inflation,FAS_EECont1,FAS_EECont1_YOS,FAS_EECont2,FAS_EECont2_YOS,FAS_Vest,FAS_EMCont,FAS Retirement Eligibility: Normal (Age/Years of Service),FAS_Retire25,FAS_Retire40,FAS_Years,FAS_Multiplier1,FAS_Multiplier1_YOS,FAS_Multiplier2,FAS_Multiplier2_YOS,FAS_Multiplier3,FAS_Multiplier3_YOS,FAS_Multiplier4,FAS_Multiplier4_YOS,FAS_Multiplier5,FAS_Multiplier5_YOS,FAS_Additive_Multipliers,FAS_CompoundCOLA,FAS_COLARate,FAS_CreditingRate,SSA_Enroll,DCGR_EECont,DCGR_EECont1_YOS,DCGR_ERCont1,DCGR_ERCont1_YOS,DCGR_ERCont2,DCGR_ERCont2_YOS,DCGR_ERCont3,DCGR_ERCont3_YOS,DCGR_ERCont4,DCGR_ERCont4_YOS,DCGR_FullVest,DCGR_GradeVest,DCGR_Grade1,DCGR_Grade1_YOS,DCGR_Grade2,DCGR_Grade2_YOS,DCGR_Grade3,DCGR_Grade3_YOS,DCGR_Grade4,DCGR_Grade4_YOS,DCGR_Grade5,DCGR_Grade5_YOS,DCGR_Grade6,DCGR_Grade6_YOS,DCGR_Grade7,DCGR_Grade7_YOS,DCGR_Grade8,DCGR_Grade8_YOS,DCGR_Grade9,DCGR_Grade9_YOS,DCGR_Grade10,DCGR_Grade10_YOS,GR_CreditingRate,FAS_Max_Pensionable_Salary,FAS_Replacement_Cap
3030103,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,Public Safety,AZ PSPRS Tier 3 Maricopa Police,FAS,0.0700,0.0700,0.0250,0.09400,99,,,15,0.0940,55/15,55,55,5,0.01500,18,0.0175,20,0.0200,23,0.0225,26,0.0250,99,0,0,0.0150,0.0300,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,0.8
3030130,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,Public Safety,AZ PSPRS DC Maricopa Police,DC,0.0700,0.0700,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.0900,99,0.0900,99,,,,,,,10,1,0.1,2,0.2,3,0.3,4,0.4,5,0.5,6,0.6,7,0.7,8,0.8,9,0.9,10,1,11,,,
3030203,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,Public Safety,AZ PSPRS Tier 3 Pima Police,FAS,0.0700,0.0700,0.0250,0.09400,99,,,15,0.0940,55/15,55,55,5,0.01500,18,0.0175,20,0.0200,23,0.0225,26,0.0250,99,0,0,0.0150,0.0300,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,0.8
3030230,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,Public Safety,AZ PSPRS DC Pima Police,DC,0.0700,0.0700,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.0900,99,0.0900,99,,,,,,,10,1,0.1,2,0.2,3,0.3,4,0.4,5,0.5,6,0.6,7,0.7,8,0.8,9,0.9,10,1,11,,,
3030303,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,Public Safety,AZ PSPRS Tier 3 General Police,FAS,0.0700,0.0700,0.0250,0.09400,99,,,15,0.0940,55/15,55,55,5,0.01500,18,0.0175,20,0.0200,23,0.0225,26,0.0250,99,0,0,0.0150,0.0300,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,0.8
3030330,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,Public Safety,AZ PSPRS DC General Police,DC,0.0700,0.0700,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.0900,99,0.0900,99,,,,,,,10,1,0.1,2,0.2,3,0.3,4,0.4,5,0.5,6,0.6,7,0.7,8,0.8,9,0.9,10,1,11,,,
3030403,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,Public Safety,AZ PSPRS Tier 3 Maricopa Fire,FAS,0.0700,0.0700,0.0250,0.09400,99,,,15,0.0940,55/15,55,55,5,0.01500,18,0.0175,20,0.0200,23,0.0225,26,0.0250,99,0,0,0.0150,0.0300,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,0.8
3030430,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,Public Safety,AZ PSPRS DC Maricopa Fire,DC,0.0700,0.0700,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.0900,99,0.0900,99,,,,,,,10,1,0.1,2,0.2,3,0.3,4,0.4,5,0.5,6,0.6,7,0.7,8,0.8,9,0.9,10,1,11,,,
3030503,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,Public Safety,AZ PSPRS Tier 3 Pima Fire,FAS,0.0700,0.0700,0.0250,0.09400,99,,,15,0.0940,55/15,55,55,5,0.01500,18,0.0175,20,0.0200,23,0.0225,26,0.0250,99,0,0,0.0150,0.0300,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,0.8
3030530,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,Public Safety,AZ PSPRS DC Pima Fire,DC,0.0700,0.0700,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.0900,99,0.0900,99,,,,,,,10,1,0.1,2,0.2,3,0.3,4,0.4,5,0.5,6,0.6,7,0.7,8,0.8,9,0.9,10,1,11,,,
3030603,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Tier 3,Public Safety,AZ PSPRS Tier 3 General Fire,FAS,0.0700,0.0700,0.0250,0.09400,99,,,15,0.0940,55/15,55,55,5,0.01500,18,0.0175,20,0.0200,23,0.0225,26,0.0250,99,0,0,0.0150,0.0300,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,0.8
3030630,Arizona,Arizona Public Safety Personnel Retirement System,Arizona Public Safety Personnel Retirement System - Defined Contribution Plan,Public Safety,AZ PSPRS DC General Fire,DC,0.0700,0.0700,0.0250,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0.0900,99,0.0900,99,,,,,,,10,1,0.1,2,0.2,3,0.3,4,0.4,5,0.5,6,0.6,7,0.7,8,0.8,9,0.9,10,1,11,,,
3040100,Arizona,Arizona State Retirement System,Arizona State Retirement System,General,AZ SRS State,FAS,0.0750,0.0750,0.0250,0.07740,99,,,5,0.0774,65/1; 62/10; 60/25; 55/30,55,62,5,0.02100,20,0.0215,25,0.0220,30,0.0230,99,,,0,0,0.0000,0.0200,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
3040200,Arizona,Arizona State Retirement System,Arizona State Retirement System,Teachers,AZ SRS Teachers,FAS,0.0750,0.0750,0.0250,0.07740,99,,,5,0.0774,65/1; 62/10; 60/25; 55/30,55,62,5,0.02100,20,0.0215,25,0.0220,30,0.0230,99,,,0,0,0.0000,0.0200,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
4010100,Arkansas,Arkansas Public Employees Retirement System,Arkansas Public Employees Retirement System,General,AR PERS General,FAS,0.0715,0.0715,0.0250,0.05000,99,,,5,0.0816,65/5; Any/28,53,65,3,0.01750,11,0.0172,99,,,,,,,1,1,0.0300,0.0400,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
4010200,Arkansas,Arkansas Public Employees Retirement System,Arkansas Public Employees Retirement System,Public Safety,AR PERS Police & Fire,FAS,0.0715,0.0715,0.0250,0.05000,99,,,5,0.0816,65/5; 55/35; Any/28,53,65,3,0.02000,29,0.0250,99,,,,,,,1,1,0.0300,0.0400,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
4020100,Arkansas,Arkansas Teachers Retirement System,Arkansas Teacher Retirement System,Teachers,AR TRS Teachers,FAS,0.0750,0.0750,0.0250,0.05940,99,,,5,0.0624,60/5; Any/28,53,60,3,0.02150,99,,,,,,,,,0,0,0.0300,0.0008,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
4020200,Arkansas,Arkansas Teachers Retirement System,Arkansas Teacher Retirement System,General,AR TRS Non-Teachers,FAS,0.0750,0.0750,0.0250,0.05940,99,,,5,0.0624,60/5; Any/28,53,60,3,0.02150,99,,,,,,,,,0,0,0.0300,0.0008,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
4030102,Arkansas,Arkansas State Highway Employees’ Retirement System,Arkansas State Highway Employees Retirement System,Public Safety,AR DOT Tier 2,FAS,0.0800,0.0800,0.0250,0.06500,99,,,5,0.0523,65/5; 64/7; 63/9; 62/11; 61/13; 60/15; 59/17; 58/19; 57/21; 56/23; 55/25; Any/30,55,59,4,0.02988,99,,,,,,,,,0,1,0.0225,0.0300,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
5010101,California,California Public Employees Retirement System,California Public Employees Retirement Fund,General,CalPERS State & Local Misc Tier 1,FAS,0.0738,0.0700,0.0275,0.08500,99,,,5,0.109859031,67/5,67,67,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0600,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5010102,California,California Public Employees Retirement System,California Public Employees Retirement Fund,General,CalPERS State & Local Misc Tier 2,FAS,0.0738,0.0700,0.0275,0.03750,99,,,10,0.109859031,67/10,67,67,3,0.01250,99,,,,,,,,,0,0,0.0150,0.0600,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5010301,California,California Public Employees Retirement System,California Public Employees Retirement Fund,General,CalPERS State & Local Industrial Tier 1 Classic,FAS,0.0738,0.0700,0.0275,0.08000,99,,,5,0.109859031,50/5,50,50,3,0.02000,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5010302,California,California Public Employees Retirement System,California Public Employees Retirement Fund,General,CalPERS State & Local Industrial Tier 2,FAS,0.0738,0.0700,0.0275,0.03750,99,,,10,0.109859031,55/10,55,55,3,0.01250,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5010401,California,California Public Employees Retirement System,California Public Employees Retirement Fund,General,CalPERS State & Local Industrial Tier 1 PEPRA,FAS,0.0738,0.0700,0.0275,0.08500,99,,,5,0.109859031,52/5,52,52,3,0.02000,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5010500,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS State Peace Officers and Firefighters Classic,FAS,0.0738,0.0700,0.0275,0.10500,99,,,5,0.109859031,50/5,50,50,3,0.03000,99,,,,,,,,,0,0,0.0150,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,0.9
5010600,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS State Peace Officers and Firefighters PEPRA,FAS,0.0738,0.0700,0.0275,0.12000,99,,,5,0.109859031,50/5,50,50,3,0.02700,99,,,,,,,,,0,0,0.0150,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,0.9
5010700,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS State & Local Safety Classic,FAS,0.0738,0.0700,0.0275,0.11000,99,,,5,0.109859031,50/5,50,50,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,0.8
5010800,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS State & Local Safety PEPRA,FAS,0.0738,0.0700,0.0275,0.11000,99,,,5,0.109859031,50/5,50,50,3,0.02000,99,,,,,,,,,0,0,0.0150,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,0.8
5010900,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS Highway Patrol Classic,FAS,0.0738,0.0700,0.0275,0.11500,99,,,5,0.109859031,50/5,50,50,3,0.03000,99,,,,,,,,,0,0,0.0150,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,0.9
5011000,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS Highway Patrol PEPRA,FAS,0.0738,0.0700,0.0275,0.11500,99,,,5,0.109859031,50/5,50,50,3,0.02700,99,,,,,,,,,0,0,0.0150,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,0.9
5011100,California,California Public Employees Retirement System,California Public Employees Retirement Fund,General,CalPERS Schools Classic,FAS,0.0738,0.0700,0.0275,0.07000,99,,,5,0.109859031,50/5,50,50,3,0.02000,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5011200,California,California Public Employees Retirement System,California Public Employees Retirement Fund,General,CalPERS Schools PEPRA,FAS,0.0738,0.0700,0.0275,0.07000,99,,,5,0.109859031,52/5,52,52,3,0.02000,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5011300,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS Safety Public Agency Misc,FAS,0.0738,0.0700,0.0275,0.05750,99,,,5,0.109859031,57/5,57,57,3,0.02700,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145666,99
5011400,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS Safety Public Agency Fire,FAS,0.0738,0.0700,0.0275,0.12500,99,,,5,0.109859031,57/5,57,57,3,0.02700,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145666,0.9
5011500,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS Safety Public Agency Police,FAS,0.0738,0.0700,0.0275,0.12500,99,,,5,0.109859031,57/5,57,57,3,0.02700,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145666,0.9
5011600,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS Safety Public Agency County Peace Officers,FAS,0.0738,0.0700,0.0275,0.12500,99,,,5,0.109859031,57/5,57,57,3,0.02700,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145666,0.9
5011700,California,California Public Employees Retirement System,California Public Employees Retirement Fund,Public Safety,CalPERS Safety Public Agency Schools,FAS,0.0738,0.0700,0.0275,0.12500,99,,,5,0.109859031,57/5,57,57,3,0.02700,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145666,99
5020100,California,California State Teachers Retirement System,California State Teachers’ Retirement System,Teachers,CalSTRS PEPRA,FAS,0.0700,0.0700,0.0275,0.10205,99,,,5,0.10053,62/5,62,62,3,0.02000,99,,,,,,,,,0,0,0.0200,0.0154,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146230,99
5020260,California,California State Teachers Retirement System,California State Teachers’ Retirement System,General,CalSTRS GR Option,GR,0.0700,0.0700,0.0275,,,,,,,62/5,62,62,,,,,,,,,,,,,0,0.0200,0.0154,No,0.0400,99,0.0400,99,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.0386,,
5030116,California,University of California Retirement System,University of California Retirement System,Teachers,CA UCRS Faculty PEPRA,FAS,0.0675,0.0675,0.0250,0.07000,99,,,5,0.10053,65/5,65,65,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5030202,California,University of California Retirement System,University of California Retirement System,Teachers,CA UCRS Safety PEPRA,FAS,0.0675,0.0675,0.0250,0.09000,99,,,5,0.10053,50/5,50,50,3,0.03000,99,,,,,,,,,0,0,0.0150,0.0600,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149016,99
5040100,California,California Public Employees Retirement System,California Judges' Retirement Fund II,General,CA JRF 2 PEPRA,FAS,0.0650,0.0650,0.0250,0.16000,99,,,5,0.24034,65/20 or 70/5,65,65,3,0.07500,99,,,,,,,,,0,0,0.0225,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.75
6010100,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employee Retirement Association - Schools Division Fund,Teachers,CO PERA Schools Division,FAS,0.0725,0.0725,0.0240,0.08000,99,,,5,0.0362,Any/35; 58 and AGE + YOS = 88; 65/5,58,64,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0300,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
6010200,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employee Retirement Association - Denver Public Schools Fund,Teachers,CO PERA Denver Schools,FAS,0.0725,0.0725,0.0240,0.10000,99,,,5,0.0431,Any/35 or 64/30 or 65/5 or 65/(60 payroll postings),60,65,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0300,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
6010300,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employee Retirement Association - State Division Fund,General,CO PERA State General,FAS,0.0725,0.0725,0.0240,0.08000,99,,,5,0.0229,Any/35; 58 and AGE + YOS = 88; 65/5,58,64,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0300,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
6010400,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employee Retirement Association - State Division Fund,General,CO PERA State Troopers,FAS,0.0725,0.0725,0.0240,0.10000,99,,,5,0.0229,Any/30; 50/25; 55/20; 65/5,50,65,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0300,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
6010500,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employee Retirement Association - Local Division Fund,General,CO PERA Local Division,FAS,0.0725,0.0725,0.0240,0.08000,99,,,5,0.0222,Any/35; 58 and AGE + YOS = 88; 65/5,58,64,3,0.02500,99,,,,,,,,,0,0,0.0150,0.0300,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
6020130,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employees Retirement Association - PERAChoice Defined Contribution Plan,General,CO PERAChoice DC State General,DC,0.0725,0.0725,0.0240,,,,,,,,,,,,,,,,,,,,,,,,,No,0.1000,99,0.1015,99,,,,,,,5,1,0.5,1,0.6,2,0.7,3,0.8,4,0.9,5,1,6,,,,,,,,,,,
6020230,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employees Retirement Association - PERAChoice Defined Contribution Plan,General,CO PERAChoice DC Universities & Colleges,DC,0.0725,0.0725,0.0240,,,,,,,,,,,,,,,,,,,,,,,,,No,0.1000,99,0.1015,99,,,,,,,5,1,0.5,1,0.6,2,0.7,3,0.8,4,0.9,5,1,6,,,,,,,,,,,
6020330,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employees Retirement Association - PERAChoice Defined Contribution Plan,Public Safety,CO PERAChoice DC State Public Safety,DC,0.0725,0.0725,0.0240,,,,,,,,,,,,,,,,,,,,,,,,,No,0.1200,99,0.1285,99,,,,,,,5,1,0.5,1,0.6,2,0.7,3,0.8,4,0.9,5,1,6,,,,,,,,,,,
6020430,Colorado,Colorado Public Employees Retirement Association,Colorado Public Employees Retirement Association - PERAChoice Defined Contribution Plan,General,CO PERAChoice DC Local Division,DC,0.0725,0.0725,0.0240,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0850,99,0.1000,99,,,,,,,5,1,0.5,1,0.6,2,0.7,3,0.8,4,0.9,5,1,6,,,,,,,,,,,
6030107,Colorado,Colorado Fire and Police Pension Association,Colorado Fire and Police Pension Association,Public Safety,CO P&F Post-2007,FAS,0.0700,0.0700,0.0250,0.11000,99,,,5,0.0552,55/25,55,65,3,0.02500,99,,,,,,,,,0,0,0.0225,0.0500,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
7010100,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,General,CT MERS General (Not SSA Covered),FAS,0.0700,0.0700,0.0250,0.05000,99,,,5,0.090617879,55/5; Any/25,50,55,3,0.02000,99,,,,,,,,,0,0,0.0250,0.0500,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
7010200,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,General,CT MERS General (SSA Covered),FAS,0.0700,0.0700,0.0250,0.02250,99,,,5,0.090617879,55/5; Any/25,50,55,3,0.01500,99,,,,,,,,,0,0,0.0250,0.0500,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
7010300,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,Public Safety,CT MERS Safety (Not SSA Covered),FAS,0.0700,0.0700,0.0250,0.05000,99,,,5,0.090617879,55/5; Any/25,50,55,3,0.02000,99,,,,,,,,,0,0,0.0250,0.0500,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
7010400,Connecticut,Connecticut Municipal Employees Retirement System,Connecticut Municipal Employees Retirement System,Public Safety,CT MERS Safety (SSA Covered),FAS,0.0700,0.0700,0.0250,0.02250,99,,,5,0.090617879,55/5; Any/25,50,55,3,0.01500,99,,,,,,,,,0,0,0.0250,0.0500,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
